id,titulo,a_pergunta,caminhos,recomendacao,preco_do_outro_lado,por_que_espera,onde_mora,foto_antes,foto_depois,custo,aberta_em,estado,escolha,decidida_em,nasceu_de
D-TROCA-DE-PERFIL-CEGA,"A troca de perfil por jogo está CEGA na sua máquina agora, e o produto diz que está bem","Isto entra como conserto imediato, antes das ondas, ou como tarefa da Onda 0?",conserto imediato (é defeito vivo na máquina dela) | tarefa da Onda 0 junto com o resto do F8,"conserto imediato — ela usa o produto todo dia, e a feature está morta sem aviso","Deixar para a Onda 0 significa que, até lá, todo jogo que ela abrir NÃO troca de perfil automaticamente, e a aba Sistema continua dizendo que a detecção está saudável.","Não espera decisão técnica: espera só a sua ordem de prioridade. O conserto tem duas metades — parar de tentar X11 no Wayland, e o healthy parar de mentir.","medido em 23/08 às 22h21: 60 x11_connect_failed em 30 min no journal, err=Can't connect to display :1. O daemon tenta X11 numa sessão Wayland/COSMIC e reporta window_detect_healthy=true.",,,a metade do healthy: ~10 linhas. A detecção por Wayland: é a sprint SISTEMA-O-VIGIA-VIVO-01.,2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. CONSERTO IMEDIATO, dentro da Onda 11 · Sistema. Motivo medido: 60 x11_connect_failed em 30 min no journal dela, e o produto respondendo window_detect_healthy=true. Feature morta SEM AVISO é pior que feature ausente — a pessoa não tem como saber que a troca de perfil parou. A metade barata (o healthy parar de mentir) sai junto com a outra na SISTEMA-O-VIGIA-VIVO-01, que já é a dona do arquivo.",2026-08-25,"F8 do plano em ondas — e conferido no journal dela, ao vivo"
D-HCI1-BLOQUEADO,"Um dos seus três adaptadores está desligado por software, com 3 aparelhos pareados","Desbloquear o hci1, ou ele está assim de propósito?","desbloquear (rfkill unblock) | está de propósito, e o produto tem de dizer isso na tela","desbloquear — e, nos dois casos, o produto passa a AVISAR em vez de pintar verde","Enquanto estiver bloqueado, todo controle pareado nele simplesmente não conecta, e a aba Configurações diz 'Folgada' em VERDE sobre ele. Quem for diagnosticar vai procurar o defeito no controle.","Desbloquear é ação na máquina dela, e a bancada é dela. O que é do produto — parar de pintar verde sobre rádio desligado — não espera decisão: é defeito.","medido em 23/08: rfkill diz Soft blocked: yes no hci1 (AC:A7:F1:00:00:41), que tem 3 aparelhos pareados. O dado JÁ chega ao produto: Dongle.ligado atravessa o D-Bus e entra na dataclass em integrations/apelido_do_dongle.py:217 — e morre ali, sem consumidor.",,,"desbloquear: 1 comando. O aviso na tela: ~10 linhas, e ele é a 'metade A' do portão do dado.",2026-08-23,decidida,"RESOLVIDA PELO FATO, medido em 24/08/2026 21h: `rfkill list` não acusa bloqueio em NENHUM dos três adaptadores (hci0, hci1, hci2 — soft e hard = no), e `ls /sys/class/bluetooth/` devolve os TRÊS. A metade ""o produto passa a AVISAR"" foi absorvida pela D-ORDEM-DE-SERVICO. E uma ARMADILHA foi medida junto: o serial que esta decisão chamava de ""hci1"" (AC:A7:F1:00:00:41) hoje é o hci0. O número hciN é a VAGA, não o aparelho — a identidade é o serial/BD Address. O GUIA-RADIO-DA-SALA.md §6.1 já dizia isso por raciocínio; agora está medido nesta máquina.",2026-08-24,"o planejador da simplificação, ao provar que a casa é cega a DADO sem consumidor"
D-COSTURA-BLUEZ,Quem é dono da costura do apelido de BlueZ,"O produto assume a costura do prefixo Nintendo nos adaptadores, ou o script continua dono?",o produto assume (e o bt_active_mode.sh para de costurar) | o script continua dono (e a função é a rota que espera),"o script continua dono, por enquanto",Ligar a função hoje RECRIA a duplicidade que o commit e5376a0 desfez em 22/08 — dois escritores do mesmo alias de BlueZ. O commit registra isso com todas as letras.,"Não é conserto de código: é decisão de dono. Enquanto ela não sair, dar chamador à função é regressão, não cura.","integrations/apelido_do_dongle.py::costurar_a_mesa (declarada em tests/unit/portao_a_casa_sabe_e_o_produto_nao_faz.py, tabela _SEM_CAMINHO_HOJE)",,,a decisão é de minutos; a execução depende do lado escolhido,2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. O SCRIPT CONTINUA DONO. Ligar costurar_a_mesa hoje recria a duplicidade que o commit e5376a0 desfez em 22/08 — dois escritores do mesmo alias de BlueZ. Preferir dono único ao produto assumir é a mesma regra que fez o mapa de canais ter uma fonte só. Quando o produto assumir, o bt_active_mode.sh para de costurar NO MESMO commit, nunca antes.",2026-08-25,o portão a-casa-sabe reprovou a branch e apontou a função sem chamador
D-ALTURA-CONFIG,A altura da aba Configurações,As duas maiores seções nascem colapsadas em Gtk.Expander?,colapsar as duas maiores (a aba cai de 2116px para 734px) | deixar como está | outra divisão,colapsar as duas maiores,"Deixar como está: 43% da aba visível, e TRÊS das cinco seções nascem abaixo da dobra. A segunda aba mais alta do produto tem 936px — esta tem 2,5 vezes isso.","Muda o que se vê ao ABRIR a aba, e isso é PROVA-DE-TELA-01: foto antes e depois, e a palavra final é dela.",app/actions/config/secoes.py (a ordem) e moldura.py (a moldura),docs/usage/assets/readme_configuracoes_inteira.png,,"~30 linhas, meio dia",2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. COLAPSAR AS DUAS MAIORES em Gtk.Expander. Medido: 2116 px de conteúdo para 909 px de página, TRÊS das cinco seções nascendo abaixo da dobra, e a segunda aba mais alta do produto tem 936 px — esta tem 2,5 vezes isso. A tarefa entra com foto antes e depois; a PALAVRA FINAL sobre o que nasce colapsado continua sendo dela (PROVA-DE-TELA-01).",2026-08-25,auditoria visual: 2116px de conteúdo para 909px de página
D-ORDEM-SECOES,A ordem das cinco seções da aba Configurações,O exame continua no topo apontando para uma seção que está duas abaixo?,mover A mesa para logo depois do exame | deixar como está | outra ordem,mover A mesa para logo depois do exame,"Hoje o exame termina dizendo 'veja a seção A mesa' — e ela está DUAS seções abaixo, atrás da grade de cards inteira. Quem abre a aba por causa de um problema tem o caminho partido ao meio por conteúdo que não tem a ver com a queixa.",É a ordem da tupla — uma linha de código. Mas muda o que se vê ao abrir.,app/actions/config/secoes.py,docs/usage/assets/readme_configuracoes.png,,"1 linha, 10 minutos + refotografar",2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. MOVER ""A mesa"" PARA LOGO DEPOIS DO EXAME. É uma linha na tupla de secoes.py. Hoje o exame termina dizendo ""veja a seção A mesa"" e ela está DUAS seções abaixo: quem abre a aba por causa de um problema tem o caminho partido ao meio. Entra com foto; a palavra final é dela.",2026-08-25,auditoria de QoL para leigo
D-JOGADOR-NAO-SEI,"O ""não sei"" do número de Jogador","A dica promete ""Sem nenhum marcado, vale a ordem de chegada"" — um estado que ela não consegue alcançar. Cria-se o verbo, ou corrige-se a dica?","verbo IPC novo de desafixar, com conceito de pino no registro | reescrever a dica para parar de prometer o inalcançável",reescrever a dica agora; o verbo como pergunta sua,"O verbo é meio dia e mexe no registro de identidade do daemon. A dica é 1 linha e 10 minutos, mas o produto continua sem como desafixar.",Medido: o identity.number.set recusa número < 1 e o daemon PERMUTA em vez de fixar — não existe 'desafixado' para onde voltar.,app/widgets/external_card.py (a dica) e daemon/ipc_handlers.py (o verbo),,,"dica: 1 linha, 10 min | verbo: meio dia",2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. REESCREVER A DICA AGORA; o verbo de desafixar vira sprint própria. A dica promete um estado inalcançável (""sem nenhum marcado, vale a ordem de chegada"") e o IPC recusa número < 1 — o produto está mentindo por uma linha de texto. Consertar o texto custa 10 minutos e para a mentira hoje; criar o verbo é meio dia e mexe no registro de identidade do daemon, que é o coração do alvo.",2026-08-25,A4: o cético estreitou o achado e separou este caso dos outros
D-TEXTO-FECHAMENTO,A redação do diálogo de fechamento e da marca de pendência,"Os textos provisórios que os agentes deixaram ficam, ou são reescritos?",aprovar os provisórios | reescrever | reescrever alguns,ler e reescrever o que soar de máquina — a voz do produto é dela,"Provisório que fica sem revisão vira definitivo por inércia, e a tradução para o inglês o carrega junto.",Classe estrutural: texto NOVO de tela. Ela pré-aprovou só a classe cosmética.,"app/app.py (diálogo), app/actions/footer_actions.py (marca e frase de sucesso), app/actions/config/secao_mesa.py (selo do medidor)",,,minutos de leitura,2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. REESCREVER O QUE SOAR DE MÁQUINA, e marcar cada frase para o olho dela. Provisório que fica sem revisão vira definitivo por inércia — e a tradução para o inglês o carrega junto. A voz do produto é dela: eu escrevo a versão honesta, ela aprova ou reescreve.",2026-08-25,"os cinco executores marcaram a redação como provisória, conforme instruídos"
D-LEITURA-MAQUINA-JSON,A assimetria entre escrever e ler o maquina.json,"A LEITURA passa a resgatar campo a campo, como a escrita já faz?","sim, simetria | não, a leitura continua estrita","sim — mas é invariante documentada, e mudá-la é decisão sua","Hoje a escrita resgata o que vale e a leitura devolve documento vazio com qualquer campo inválido: o daemon sobe sem teto e sem a ponte de microfone, em silêncio.",Muda invariante escrita no docstring do módulo.,utils/maquina.py,,,~10 linhas + teste que morde,2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. SIM, SIMETRIA: a leitura passa a resgatar campo a campo, como a escrita já faz. O custo de NÃO fazer está medido e é grave: um único campo inválido devolve documento VAZIO, e o daemon sobe sem teto de orçamento e sem a ponte de microfone, EM SILÊNCIO. A invariante do docstring nasceu de um produto que não tinha resgate na escrita; agora tem, e a assimetria virou armadilha. O módulo já guarda os bytes recusados em .invalido, então nada se perde.",2026-08-25,A2: o executor consertou a escrita e declarou a assimetria em vez de decidir sozinho
D-COR-OUTRA-VAZIA,"O botão ""Outra"" com o campo livre vazio","Escolher ""Outra"" e não digitar nada deixa o botão afundado declarando None. Isso fica?","fica (é 'sei que é outra, não sei qual') | volta para não sei | exige o texto","fica, com a dica dizendo o que significa","Se ficar sem explicação, a tela mostra um botão afundado que não declara nada — e a pessoa não tem como saber.","É comportamento de tela; o A4 não decidiu por conta própria, e fez certo.",app/widgets/external_card.py,,,1 a 5 linhas,2026-08-23,decidida,"DECIDIDA POR DELEGAÇÃO (25/08, madrugada, ela ausente 7 h; palavra dela: ""vc tem via specs e projeto tudo o que é necessário pra tomar todas as decisões""). REVERSÍVEL NUMA FRASE. FICA, com a dica dizendo o que significa. ""Sei que é outra, não sei qual"" é uma resposta legítima e distinta de ""não sei"" — é a mesma gramática que o resto do produto usa para separar ausência de medição de ausência de declaração (ver D-O-QUE-O-PRODUTO-DIZ-SEM-SABER). Sem a dica, porém, a tela mostra um botão afundado que não declara nada, e isso é o defeito.",2026-08-25,A4
D-ORDEM-DAS-ONDAS,"A ordem da leva: transversal primeiro, abas depois","As onze abas entram em ordem, ou as invariantes que valem para todas vêm antes?","Onda 0 (invariantes) primeiro, e as onze abas depois | aba por aba, na ordem da tira",transversal primeiro — as invariantes MUDAM o que cada aba tem de fazer,"Arrumar layout de aba antes de saber se a feature dela vale POR CONTROLE é retrabalho garantido, e onze vezes.",Não espera: DECIDIDA em 23/08/2026.,docs/process/SPRINT_ORDER.md — o desenho inteiro das ondas nasce desta escolha,,,zero em código: é a ordem de despacho.,2026-08-23,decidida,"Onda 0 = as invariantes (perfil guarda tudo; 4 controles; co-op sempre; comunhão com o specs; vício de bancada). Ondas 1..11 = uma por aba, JÁ sob essas regras. Onda 12 = as sprints abertas, redistribuídas.",2026-08-23,"D1 das três decisões de processo dela, na seção 5 do 2026-08-23-ONDE-PARAMOS; materializada no painel pela O-QUE-FICOU-FORA-01"
